timestamp;subject_id;activity;label;seq;ax;ay;az;gx;gy;gz
2543407;1;16;1;4715;84;3684;-560;-429;-5335;1215
2543417;1;16;1;4715;-57;3588;-884;-292;-5351;962
2543427;1;16;1;4715;-332;3759;-1141;-355;-5435;547
2543437;1;16;1;4715;-514;3989;-1139;-636;-5583;231
2543447;1;16;1;4715;-648;4176;-936;-895;-5775;77
2543457;1;16;1;4715;-623;4273;-587;-1072;-5965;238
2543467;1;16;1;4715;-503;4225;-382;-1068;-6099;641
2543477;1;16;1;4715;-314;4030;-291;-854;-6201;1241
2543487;1;16;1;4715;-152;3787;-379;-454;-6199;1675
2543497;1;16;1;4715;76;3665;-662;-126;-6134;1845
2543507;1;16;1;4715;129;3691;-998;49;-6049;1700
2543517;1;16;1;4715;27;3845;-1294;-17;-6009;1473
2543527;1;16;1;4715;-92;3936;-1426;-257;-5881;1371
2543537;1;16;1;4715;-97;3967;-1355;-526;-5702;1421
2543547;1;16;1;4715;-73;3930;-1174;-735;-5508;1561
2543557;1;16;1;4715;34;3868;-906;-800;-5306;1712
2543567;1;16;1;4715;224;3736;-607;-767;-5174;1853
2543577;1;16;1;4715;348;3661;-406;-588;-4994;1907
2543587;1;16;1;4715;348;3677;-335;-438;-4857;1808
2543597;1;16;1;4715;385;3866;-430;-368;-4909;1701
2543607;1;16;1;4715;391;4065;-604;-399;-4918;1717
2543617;1;16;1;4715;513;4121;-725;-346;-4800;1946
2543627;1;16;1;4715;504;3958;-858;-197;-4462;2102
2543637;1;16;1;4715;512;3874;-1021;-113;-4051;2148
2543647;1;16;1;4715;555;3920;-1278;-126;-3778;2092
2543657;1;16;1;4715;504;4080;-1547;-302;-3503;1979
2543667;1;16;1;4715;352;4278;-1634;-522;-3206;1988
2543677;1;16;1;4715;246;4295;-1399;-726;-2860;2202
2543687;1;16;1;4715;338;4199;-937;-801;-2530;2401
2543697;1;16;1;4715;517;4045;-497;-707;-2239;2472
2543707;1;16;1;4716;377;3891;-150;-536;-1683;2335
2543717;1;16;1;4716;261;3830;-29;-412;-2023;2181
2543727;1;16;1;4716;286;3676;15;-355;-2396;2186
2543737;1;16;1;4716;515;3622;-73;-154;-2866;2274
2543747;1;16;1;4716;531;3721;-266;-115;-3319;2497
2543757;1;16;1;4716;487;3884;-673;-242;-3646;2533
2543767;1;16;1;4716;449;4183;-1046;-423;-3661;2559
2543777;1;16;1;4716;214;4461;-1335;-645;-3586;2612
2543787;1;16;1;4716;224;4729;-1482;-915;-3378;2683
2543797;1;16;1;4716;251;4648;-1479;-1111;-3071;2975
2543807;1;16;1;4716;101;4192;-1300;-1036;-2818;3101
2543817;1;16;1;4716;155;3841;-960;-807;-2647;2951
2543827;1;16;1;4716;178;3642;-734;-642;-2595;2769
2543837;1;16;1;4716;146;3773;-401;-635;-2795;2812
2543847;1;16;1;4716;255;4093;-12;-681;-2991;3066
2543857;1;16;1;4716;482;4213;258;-694;-3236;3280
2543867;1;16;1;4716;662;4261;163;-625;-3527;3210
2543877;1;16;1;4716;732;4224;-118;-593;-3861;2788
2543887;1;16;1;4716;530;4112;-423;-535;-4087;2087
2543897;1;16;1;4716;109;3908;-680;-328;-4182;1499
2543907;1;16;1;4716;-2;3786;-754;-55;-4160;1294
2543917;1;16;1;4716;309;3745;-735;149;-3903;1529
2543927;1;16;1;4716;853;3854;-650;269;-3523;1773
2543937;1;16;1;4716;1292;3930;-541;395;-3135;1874
2543947;1;16;1;4716;1419;3828;-586;543;-2821;1554
2543957;1;16;1;4716;1349;3773;-754;390;-2835;791
2543967;1;16;1;4716;1002;3982;-825;-48;-3175;-236
2543977;1;16;1;4716;311;4240;-821;-680;-3524;-1012
2543987;1;16;1;4716;-345;4371;-649;-1071;-3848;-1317
2543997;1;16;1;4716;-376;4505;-306;-1164;-4097;-910
2544007;1;16;1;4716;329;4604;-70;-1087;-4191;209
2544017;1;16;1;4716;1094;4384;-130;-818;-3941;1332
2544027;1;16;1;4716;1722;4052;-458;-373;-3534;1922
2544037;1;16;1;4716;1839;3679;-882;69;-3124;1597
2544047;1;16;1;4716;1560;3554;-1295;148;-2949;473
2544057;1;16;1;4716;962;3507;-1465;-308;-2806;-946
2544067;1;16;1;4716;156;3521;-1429;-906;-2857;-1996
2544077;1;16;1;4716;-373;3701;-1125;-1449;-2972;-2487
2544087;1;16;1;4716;-417;3911;-583;-1849;-3302;-2533
2544097;1;16;1;4716;220;4437;-99;-2042;-3636;-1776
2544107;1;16;1;4716;1092;4914;-142;-2117;-3611;-184
2544117;1;16;1;4716;1698;4896;-749;-1866;-3272;1377
2544127;1;16;1;4716;1917;4618;-1593;-1280;-2766;1848
2544137;1;16;1;4716;1916;4493;-2239;-818;-1974;1291
2544147;1;16;1;4716;1471;4133;-2355;-915;-1284;223
2544157;1;16;1;4716;655;3321;-2093;-1473;-1076;-956
2544167;1;16;1;4716;-58;2787;-1394;-2047;-1393;-2020
2544177;1;16;1;4716;-517;2830;-422;-2456;-1923;-2651
2544187;1;16;1;4716;-558;3118;335;-2559;-2783;-2608
2544197;1;16;1;4716;166;3741;724;-2360;-3486;-1800
2544207;1;16;1;4717;1127;4235;211;-1778;-3715;-369
2544217;1;16;1;4717;1513;4183;-801;-1000;-3514;480
2544227;1;16;1;4717;1677;4064;-2019;25;-2915;539
2544237;1;16;1;4717;1286;4168;-2791;780;-2067;-205
2544247;1;16;1;4717;315;4276;-2683;625;-1036;-1018
2544257;1;16;1;4717;29;3920;-1868;-142;-238;-1383
2544267;1;16;1;4717;-559;3019;-1457;-724;89;-2204
2544277;1;16;1;4717;-674;3211;-721;-868;319;-3415
2544287;1;16;1;4717;-781;3842;-35;-109;717;-3687
2544297;1;16;1;4717;-847;4465;126;1078;638;-3156
2544307;1;16;1;4717;-706;4904;-229;2027;554;-1808
2544317;1;16;1;4717;-287;4759;-699;2685;662;-493
2544327;1;16;1;4717;-180;4671;-773;3021;618;144
2544337;1;16;1;4717;-331;4698;-582;2857;300;270
2544347;1;16;1;4717;-545;4566;-252;2095;-172;139
2544357;1;16;1;4717;-487;4370;177;1165;-622;-266
2544367;1;16;1;4717;-274;4248;667;573;-1266;-709
2544377;1;16;1;4717;-195;4237;1072;329;-1762;-1003
2544387;1;16;1;4717;-118;4330;1292;510;-2025;-1139
2544397;1;16;1;4717;-19;4490;1275;801;-2155;-941
2544407;1;16;1;4717;10;4525;1033;924;-2262;-549
2544417;1;16;1;4717;55;4522;610;756;-2282;-163
2544427;1;16;1;4717;88;4483;164;441;-2099;-9
2544437;1;16;1;4717;65;4516;-290;47;-1631;-118
2544447;1;16;1;4717;25;4637;-614;-327;-940;-461
2544457;1;16;1;4717;0;4618;-732;-678;-176;-800
2544467;1;16;1;4717;187;4581;-581;-868;550;-947
2544477;1;16;1;4717;366;4543;-254;-1005;1137;-710
2544487;1;16;1;4717;334;4278;5;-1051;1520;-338
2544497;1;16;1;4717;178;4113;147;-993;1791;-308
2544507;1;16;1;4717;6;4093;176;-827;2085;-699
2544517;1;16;1;4717;-54;4239;125;-592;2376;-1324
2544527;1;16;1;4717;-38;4438;-26;-412;2639;-1730
2544537;1;16;1;4717;-190;4541;-203;-412;2804;-1699
2544547;1;16;1;4717;-237;4540;-313;-609;2885;-1288
2544557;1;16;1;4717;-303;4364;-307;-833;2927;-787
2544567;1;16;1;4717;-294;4172;-236;-970;2947;-441
2544577;1;16;1;4717;-346;4002;-161;-945;2935;-443
2544587;1;16;1;4717;-450;3910;-20;-779;2944;-740
2544597;1;16;1;4717;-458;3937;220;-616;2975;-1019
2544607;1;16;1;4717;-467;3924;363;-510;2887;-1069
2544617;1;16;1;4717;-458;3893;450;-499;2634;-909
2544627;1;16;1;4717;-378;3811;466;-585;2307;-623
2544637;1;16;1;4717;-370;3719;384;-636;1901;-394
2544647;1;16;1;4717;-334;3712;258;-656;1678;-237
2544657;1;16;1;4717;-290;3705;171;-591;1665;-262
2544667;1;16;1;4717;-218;3806;79;-462;1697;-460
2544677;1;16;1;4717;-125;4005;-40;-364;1827;-611
2544687;1;16;1;4717;-207;4067;-35;-292;2036;-682
2544697;1;16;1;4717;-248;4052;68;-225;2208;-582
2544707;1;16;1;4718;-293;3914;266;-248;2292;-321
2544717;1;16;1;4718;-298;3772;444;-306;2269;-75
2544727;1;16;1;4718;-246;3671;440;-369;2212;79
2544737;1;16;1;4718;-87;3600;332;-381;2227;216
2544747;1;16;1;4718;155;3559;99;-284;2487;272
2544757;1;16;1;4718;403;3578;-176;-127;2936;203
2544767;1;16;1;4718;557;3718;-489;63;3426;13
2544777;1;16;1;4718;699;3932;-712;175;3998;-79
2544787;1;16;1;4718;589;4113;-876;215;4523;-87
2544797;1;16;1;4718;266;4296;-913;196;4880;-8
2544807;1;16;1;4718;-121;4406;-706;135;5177;142
2544817;1;16;1;4718;-310;4440;-405;103;5412;258
2544827;1;16;1;4718;-341;4425;-56;86;5520;378
