timestamp;subject_id;activity;label;seq;ax;ay;az;gx;gy;gz
3536325;1;20;2;6650;1570;4176;1012;3221;-4599;4923
3536335;1;20;2;6650;1729;3892;600;2672;-4421;4618
3536345;1;20;2;6650;1853;3802;310;3027;-5122;4385
3536355;1;20;2;6650;2134;3614;177;1590;-4945;3489
3536365;1;20;2;6650;2168;3857;164;1238;-4844;3040
3536375;1;20;2;6650;2295;3989;211;1448;-4878;3399
3536385;1;20;2;6650;2561;4168;544;1547;-4576;3955
3536395;1;20;2;6650;2858;4393;706;1816;-4458;4319
3536405;1;20;2;6650;2731;4618;692;1657;-4206;3864
3536415;1;20;2;6650;2773;4600;399;1334;-4308;2950
3536425;1;20;2;6650;2841;4274;84;718;-4399;1855
3536435;1;20;2;6650;2820;4018;-68;491;-4333;1273
3536445;1;20;2;6650;2561;3790;48;435;-4184;974
3536455;1;20;2;6650;2409;3797;320;1140;-4451;1641
3536465;1;20;2;6650;2346;3844;622;1605;-4307;1473
3536475;1;20;2;6650;2697;4200;431;1916;-4470;1262
3536485;1;20;2;6650;3196;4745;99;1963;-4683;1053
3536495;1;20;2;6650;3533;4998;-293;1572;-4380;396
3536505;1;20;2;6650;3354;5003;-558;955;-4009;90
3536515;1;20;2;6650;3121;4799;-742;272;-3509;12
3536525;1;20;2;6650;2877;4571;-854;-248;-2977;-169
3536535;1;20;2;6650;2687;4281;-975;-427;-2687;-395
3536545;1;20;2;6650;2680;4221;-1171;-300;-2565;-644
3536555;1;20;2;6650;2529;4348;-1191;-194;-2795;-851
3536565;1;20;2;6650;2372;4412;-961;-167;-3045;-912
3536575;1;20;2;6650;2270;4473;-699;-266;-3169;-787
3536585;1;20;2;6650;2223;4491;-475;-367;-3044;-727
3536595;1;20;2;6650;2214;4625;-524;-680;-2651;-792
3536605;1;20;2;6650;2264;4715;-744;-1223;-2160;-886
3536615;1;20;2;6650;2305;4728;-888;-1663;-1529;-886
3536625;1;20;2;6650;2321;4654;-1030;-2128;-772;-1252
3536635;1;20;2;6650;2234;4522;-1007;-2128;-320;-1668
3536645;1;20;2;6650;2156;4359;-900;-2190;-387;-1651
3536655;1;20;2;6650;1911;4129;-785;-1910;-558;-1861
3536665;1;20;2;6650;1687;3856;-611;-1688;-897;-1638
3536675;1;20;2;6650;1497;3592;-443;-1601;-1000;-1377
3536685;1;20;2;6650;1559;3451;-236;-1704;-900;-1320
3536695;1;20;2;6650;1501;3510;-173;-1799;-558;-1712
3536705;1;20;2;6650;1477;3679;-292;-2047;-462;-2216
3536715;1;20;2;6650;1355;3911;-415;-2574;-188;-2715
3536725;1;20;2;6650;1431;3906;-626;-3151;136;-3148
3536735;1;20;2;6650;1441;3787;-734;-3427;461;-3461
3536745;1;20;2;6650;1398;3730;-707;-3255;806;-3393
3536755;1;20;2;6650;1626;3641;-764;-3183;1087;-3502
3536765;1;20;2;6650;1577;3586;-752;-3027;1188;-3595
3536775;1;20;2;6650;1554;3637;-655;-2807;1287;-3746
3536785;1;20;2;6650;1685;3596;-584;-2653;1328;-4087
3536795;1;20;2;6650;1624;3586;-580;-2856;1729;-4730
3536805;1;20;2;6650;1494;3894;-379;-2883;1512;-4573
3536815;1;20;2;6650;1386;3853;-271;-3043;1837;-4509
3536825;1;20;2;6651;1238;3737;-271;-2641;1138;-4332
3536835;1;20;2;6651;1079;3681;-326;-2322;574;-3946
3536845;1;20;2;6651;1102;3286;-338;-1863;179;-3700
3536855;1;20;2;6651;1236;3249;-414;-1854;78;-3794
3536865;1;20;2;6651;1296;3278;-471;-1825;104;-4420
3536875;1;20;2;6651;1057;3438;-411;-1914;420;-5371
3536885;1;20;2;6651;740;3695;-349;-1894;828;-5110
3536895;1;20;2;6651;613;3858;-267;-1601;964;-4733
3536905;1;20;2;6651;601;3941;-144;-1344;827;-4394
3536915;1;20;2;6651;657;3814;-141;-1195;937;-3846
3536925;1;20;2;6651;671;3766;-126;-1096;917;-3345
3536935;1;20;2;6651;732;3661;-121;-1032;832;-2833
3536945;1;20;2;6651;866;3507;-237;-1023;780;-2595
3536955;1;20;2;6651;962;3404;-291;-1172;698;-2743
3536965;1;20;2;6651;903;3406;-236;-1331;853;-3072
3536975;1;20;2;6651;766;3617;-39;-1172;719;-3334
3536985;1;20;2;6651;543;3757;-64;-1104;545;-3288
3536995;1;20;2;6651;379;3968;-24;-1010;399;-3156
3537005;1;20;2;6651;386;3972;-3;-713;251;-2719
3537015;1;20;2;6651;487;3929;-15;-476;103;-2335
3537025;1;20;2;6651;657;3869;-137;-462;106;-2056
3537035;1;20;2;6651;837;3801;-225;-635;349;-1966
3537045;1;20;2;6651;938;3780;-308;-894;765;-2027
3537055;1;20;2;6651;986;3762;-255;-1073;998;-2162
3537065;1;20;2;6651;883;3829;-167;-1197;1012;-2283
3537075;1;20;2;6651;637;3808;-85;-1272;735;-2382
3537085;1;20;2;6651;503;3769;-77;-1269;499;-2370
3537095;1;20;2;6651;437;3760;-84;-1206;275;-2211
3537105;1;20;2;6651;499;3734;-61;-1144;182;-2066
3537115;1;20;2;6651;545;3731;-66;-1133;21;-2120
3537125;1;20;2;6651;557;3714;-83;-1147;-69;-2115
3537135;1;20;2;6651;578;3717;-32;-1056;-130;-2048
3537145;1;20;2;6651;580;3773;-61;-962;-188;-1908
3537155;1;20;2;6651;502;3733;-63;-831;-259;-1641
3537165;1;20;2;6651;445;3668;-66;-724;-284;-1284
3537175;1;20;2;6651;433;3571;-64;-641;-283;-950
3537185;1;20;2;6651;432;3552;-32;-696;-347;-805
3537195;1;20;2;6651;330;3662;-80;-809;-505;-869
3537205;1;20;2;6651;203;3881;-41;-901;-766;-1057
3537215;1;20;2;6651;135;4139;-75;-918;-1057;-1184
3537225;1;20;2;6651;219;4233;-91;-863;-1294;-1080
3537235;1;20;2;6651;496;4126;-87;-753;-1219;-701
3537245;1;20;2;6651;737;3822;11;-776;-969;-255
3537255;1;20;2;6651;830;3610;32;-934;-707;-185
3537265;1;20;2;6651;584;3638;121;-1145;-657;-382
3537275;1;20;2;6651;307;3783;301;-1309;-755;-377
3537285;1;20;2;6651;113;3993;368;-1310;-897;53
3537295;1;20;2;6651;181;4102;319;-1278;-892;789
3537305;1;20;2;6651;425;4033;271;-1190;-736;1616
3537315;1;20;2;6651;674;3806;176;-1128;-561;1999
3537325;1;20;2;6652;723;3722;138;-1064;-484;1833
3537335;1;20;2;6652;589;3792;127;-940;-584;1317
3537345;1;20;2;6652;454;3982;136;-736;-821;721
3537355;1;20;2;6652;402;4152;151;-493;-993;419
3537365;1;20;2;6652;494;4228;151;-293;-1036;467
3537375;1;20;2;6652;687;4144;143;-254;-1043;630
3537385;1;20;2;6652;851;3999;108;-315;-1056;616
3537395;1;20;2;6652;847;3831;139;-460;-1081;357
3537405;1;20;2;6652;736;3685;219;-636;-1096;7
3537415;1;20;2;6652;614;3510;326;-874;-1145;-435
3537425;1;20;2;6652;445;3467;453;-1127;-1178;-802
3537435;1;20;2;6652;289;3532;517;-1319;-1150;-827
3537445;1;20;2;6652;210;3666;565;-1345;-1077;-500
3537455;1;20;2;6652;233;3836;566;-1219;-996;105
3537465;1;20;2;6652;411;3789;567;-951;-906;836
3537475;1;20;2;6652;595;3736;544;-707;-858;1400
3537485;1;20;2;6652;603;3805;545;-526;-883;1651
3537495;1;20;2;6652;441;4022;439;-429;-1054;1499
3537505;1;20;2;6652;319;4325;330;-278;-1341;1321
3537515;1;20;2;6652;326;4649;223;14;-1573;1451
3537525;1;20;2;6652;517;4773;164;81;-1788;1738
3537535;1;20;2;6652;846;4706;174;122;-1930;2148
3537545;1;20;2;6652;1096;4397;171;-70;-1616;2462
3537555;1;20;2;6652;1128;4197;224;-481;-1282;2099
3537565;1;20;2;6652;845;4150;351;-951;-1018;1267
3537575;1;20;2;6652;526;4227;423;-1331;-892;281
3537585;1;20;2;6652;281;4415;462;-1528;-777;-208
3537595;1;20;2;6652;368;4473;489;-1434;-659;-15
3537605;1;20;2;6652;644;4336;490;-1461;-624;338
3537615;1;20;2;6652;844;4022;462;-1562;-483;551
3537625;1;20;2;6652;835;3700;453;-1699;-185;520
3537635;1;20;2;6652;741;3533;498;-1772;138;227
3537645;1;20;2;6652;556;3430;602;-1758;360;-146
3537655;1;20;2;6652;399;3435;654;-1594;401;-390
3537665;1;20;2;6652;316;3593;570;-1417;267;-424
3537675;1;20;2;6652;360;3802;492;-1315;69;-245
3537685;1;20;2;6652;475;3917;435;-1210;-170;99
3537695;1;20;2;6652;546;3924;395;-1135;-337;485
3537705;1;20;2;6652;730;3818;306;-1215;-425;649
3537715;1;20;2;6652;830;3733;212;-1222;-410;621
3537725;1;20;2;6652;846;3642;127;-1414;-435;518
3537735;1;20;2;6652;793;3671;127;-1580;-507;291
3537745;1;20;2;6652;770;3761;115;-1685;-660;131
3537755;1;20;2;6652;752;3918;153;-1713;-846;120
3537765;1;20;2;6652;824;4058;181;-1809;-991;77
3537775;1;20;2;6652;944;3985;219;-2012;-1084;52
3537785;1;20;2;6652;1000;3881;248;-2333;-1145;126
3537795;1;20;2;6652;1026;3705;273;-2519;-1153;462
3537805;1;20;2;6652;1006;3633;273;-2734;-1158;542
3537815;1;20;2;6652;1049;3728;279;-2890;-1021;339
3537825;1;20;2;6653;995;3854;325;-2954;-779;105
3537835;1;20;2;6653;979;4075;155;-3037;-835;13
3537845;1;20;2;6653;875;4332;-17;-3225;-947;-246
3537855;1;20;2;6653;760;4544;-75;-3507;-897;-817
3537865;1;20;2;6653;802;4547;-153;-3397;-1261;-1090
3537875;1;20;2;6653;861;4313;50;-2840;-1932;-1290
3537885;1;20;2;6653;963;3947;172;-2453;-2370;-1603
3537895;1;20;2;6653;952;3501;402;-2261;-2397;-1525
3537905;1;20;2;6653;583;3407;621;-2325;-2148;-1059
3537915;1;20;2;6653;206;3059;875;-2509;-1652;1000
3537925;1;20;2;6653;1845;4327;972;-2797;356;9044
3537935;1;20;2;6653;350;2525;1353;-3387;-114;5305
3537945;1;20;2;6653;1070;2087;1810;-3333;2048;4208
3537955;1;20;2;6653;1083;1637;2003;-1742;-1131;2807
3537965;1;20;2;6653;2824;2219;289;-3113;2047;298
3537975;1;20;2;6653;2355;2021;689;-3314;2003;152
