timestamp;subject_id;activity;label;seq;ax;ay;az;gx;gy;gz
1200091;1;11;1;2254;-699;3848;-1205;-157;-150;-96
1200101;1;11;1;2254;-673;3857;-1215;-167;-163;-76
1200111;1;11;1;2254;-690;3851;-1228;-174;-154;-58
1200121;1;11;1;2254;-671;3834;-1213;-167;-143;-52
1200131;1;11;1;2254;-682;3838;-1214;-148;-124;-49
1200141;1;11;1;2254;-703;3803;-1190;-125;-117;-70
1200151;1;11;1;2254;-711;3784;-1192;-111;-123;-92
1200161;1;11;1;2254;-726;3810;-1214;-106;-120;-111
1200171;1;11;1;2254;-744;3846;-1196;-132;-94;-100
1200181;1;11;1;2254;-720;3861;-1207;-157;-90;-81
1200191;1;11;1;2254;-689;3889;-1227;-173;-88;-59
1200201;1;11;1;2254;-699;3869;-1235;-167;-85;-35
1200211;1;11;1;2254;-683;3850;-1199;-164;-56;-37
1200221;1;11;1;2254;-687;3828;-1201;-171;-33;-42
1200231;1;11;1;2254;-684;3811;-1192;-173;-24;-59
1200241;1;11;1;2254;-696;3810;-1164;-178;-17;-77
1200251;1;11;1;2254;-692;3822;-1156;-163;-30;-100
1200261;1;11;1;2254;-694;3830;-1194;-154;-54;-122
1200271;1;11;1;2254;-707;3835;-1183;-146;-74;-137
1200281;1;11;1;2254;-700;3854;-1187;-139;-83;-127
1200291;1;11;1;2254;-713;3865;-1200;-144;-88;-114
1200301;1;11;1;2254;-704;3850;-1209;-136;-103;-104
1200311;1;11;1;2254;-715;3834;-1229;-138;-92;-100
1200321;1;11;1;2254;-714;3815;-1220;-149;-47;-105
1200331;1;11;1;2254;-707;3837;-1213;-153;-27;-112
1200341;1;11;1;2254;-708;3850;-1205;-174;-17;-103
1200351;1;11;1;2254;-720;3870;-1209;-198;8;-83
1200361;1;11;1;2254;-712;3854;-1197;-213;14;-65
1200371;1;11;1;2254;-704;3853;-1194;-214;12;-62
1200381;1;11;1;2254;-707;3847;-1177;-189;-10;-68
1200391;1;11;1;2254;-714;3831;-1161;-186;-29;-72
1200401;1;11;1;2254;-720;3813;-1170;-177;-38;-76
1200411;1;11;1;2254;-712;3830;-1172;-168;-66;-83
1200421;1;11;1;2254;-689;3837;-1191;-160;-77;-85
1200431;1;11;1;2254;-699;3838;-1208;-168;-63;-81
1200441;1;11;1;2254;-691;3837;-1224;-176;-48;-77
1200451;1;11;1;2254;-709;3839;-1193;-182;-21;-60
1200461;1;11;1;2254;-709;3856;-1188;-191;6;-44
1200471;1;11;1;2254;-702;3860;-1174;-202;15;-36
1200481;1;11;1;2254;-705;3856;-1177;-188;9;-32
1200491;1;11;1;2254;-701;3834;-1174;-185;0;-39
1200501;1;11;1;2254;-701;3837;-1164;-188;-10;-39
1200511;1;11;1;2254;-694;3842;-1177;-188;-21;-44
1200521;1;11;1;2254;-698;3838;-1174;-183;-19;-43
1200531;1;11;1;2254;-689;3843;-1192;-187;-28;-42
1200541;1;11;1;2254;-693;3840;-1204;-185;-56;-39
1200551;1;11;1;2254;-709;3859;-1186;-189;-86;-31
1200561;1;11;1;2254;-705;3845;-1165;-200;-102;-23
1200571;1;11;1;2254;-703;3838;-1184;-196;-93;-24
1200581;1;11;1;2254;-702;3825;-1193;-190;-67;-21
1200591;1;11;1;2255;-701;3817;-1191;-184;-39;-29
1200601;1;11;1;2255;-701;3821;-1189;-188;-38;-32
1200611;1;11;1;2255;-710;3845;-1175;-181;-57;-33
1200621;1;11;1;2255;-706;3856;-1178;-172;-91;-33
1200631;1;11;1;2255;-714;3841;-1175;-164;-131;-25
1200641;1;11;1;2255;-693;3846;-1192;-144;-158;-17
1200651;1;11;1;2255;-703;3843;-1177;-140;-173;-4
1200661;1;11;1;2255;-721;3842;-1190;-147;-173;1
1200671;1;11;1;2255;-717;3846;-1195;-160;-144;22
1200681;1;11;1;2255;-708;3844;-1187;-156;-120;38
1200691;1;11;1;2255;-691;3837;-1198;-161;-99;54
1200701;1;11;1;2255;-685;3833;-1211;-178;-72;58
1200711;1;11;1;2255;-685;3824;-1196;-181;-61;56
1200721;1;11;1;2255;-680;3818;-1178;-181;-60;40
1200731;1;11;1;2255;-692;3829;-1187;-185;-66;19
1200741;1;11;1;2255;-697;3840;-1167;-175;-74;-7
1200751;1;11;1;2255;-701;3849;-1158;-176;-60;-16
1200761;1;11;1;2255;-711;3855;-1165;-156;-53;-29
1200771;1;11;1;2255;-693;3857;-1187;-139;-70;-36
1200781;1;11;1;2255;-679;3842;-1188;-126;-98;-38
1200791;1;11;1;2255;-678;3846;-1199;-120;-127;-44
1200801;1;11;1;2255;-664;3835;-1220;-117;-106;-35
1200811;1;11;1;2255;-735;3823;-1223;-104;-59;-56
1200821;1;11;1;2255;-727;3850;-1249;-139;-28;-81
1200831;1;11;1;2255;-685;3848;-1246;-155;-1;-41
1200841;1;11;1;2255;-734;3858;-1228;-106;-20;-43
1200851;1;11;1;2255;-805;3820;-1291;-51;-131;-126
1200861;1;11;1;2255;-920;3770;-1299;50;-287;-237
1200871;1;11;1;2255;-964;3772;-1218;89;-361;-259
1200881;1;11;1;2255;-895;3734;-1130;45;-304;-115
1200891;1;11;1;2255;-823;3712;-1072;-44;-189;51
1200901;1;11;1;2255;-756;3648;-936;-122;-47;253
1200911;1;11;1;2255;-822;3537;-900;-54;-56;375
1200921;1;11;1;2255;-891;3380;-922;215;-245;226
1200931;1;11;1;2255;-800;3307;-954;468;-409;-70
1200941;1;11;1;2255;-598;3332;-910;782;-559;-460
1200951;1;11;1;2255;-459;3501;-954;992;-652;-774
1200961;1;11;1;2255;-392;3622;-916;1040;-833;-824
1200971;1;11;1;2255;-497;3805;-1056;1082;-1053;-670
1200981;1;11;1;2255;-523;4079;-1105;1005;-1182;-321
1200991;1;11;1;2255;-390;4459;-1128;802;-1207;155
1201001;1;11;1;2255;-221;4661;-1240;520;-922;707
1201011;1;11;1;2255;0;4767;-1310;253;-436;1221
1201021;1;11;1;2255;106;4644;-1368;132;67;1475
1201031;1;11;1;2255;87;4488;-1447;102;391;1431
1201041;1;11;1;2255;-54;4298;-1515;6;564;1077
1201051;1;11;1;2255;-122;4145;-1391;-231;631;676
1201061;1;11;1;2255;-201;3942;-1213;-443;638;378
1201071;1;11;1;2255;-272;3786;-972;-523;565;192
1201081;1;11;1;2255;-410;3697;-796;-455;350;31
1201091;1;11;1;2256;-498;3698;-743;-357;-5;-145
1201101;1;11;1;2256;-501;3728;-703;-245;-384;-340
1201111;1;11;1;2256;-563;3681;-753;-98;-659;-554
1201121;1;11;1;2256;-626;3641;-914;80;-842;-779
1201131;1;11;1;2256;-777;3597;-1108;249;-912;-986
1201141;1;11;1;2256;-826;3653;-1205;312;-912;-1028
1201151;1;11;1;2256;-805;3754;-1264;198;-763;-832
1201161;1;11;1;2256;-743;3780;-1248;105;-534;-547
1201171;1;11;1;2256;-714;3793;-1170;122;-281;-314
1201181;1;11;1;2256;-690;3870;-1167;193;-135;-206
1201191;1;11;1;2256;-667;3975;-1219;242;-71;-190
1201201;1;11;1;2256;-685;4051;-1253;247;-146;-236
1201211;1;11;1;2256;-711;4065;-1324;208;-209;-281
1201221;1;11;1;2256;-693;4035;-1316;79;-241;-214
1201231;1;11;1;2256;-670;3924;-1294;-49;-204;-77
1201241;1;11;1;2256;-624;3824;-1245;-178;-131;52
1201251;1;11;1;2256;-596;3759;-1103;-289;-114;152
1201261;1;11;1;2256;-583;3663;-978;-329;-179;219
1201271;1;11;1;2256;-571;3570;-913;-312;-301;234
1201281;1;11;1;2256;-558;3486;-904;-241;-450;137
1201291;1;11;1;2256;-559;3463;-955;-151;-686;-63
1201301;1;11;1;2256;-526;3528;-1048;-82;-978;-332
1201311;1;11;1;2256;-446;3655;-1166;-79;-1263;-550
1201321;1;11;1;2256;-425;3732;-1321;-151;-1433;-666
1201331;1;11;1;2256;-421;3735;-1388;-187;-1524;-732
1201341;1;11;1;2256;-534;3698;-1492;-127;-1563;-805
1201351;1;11;1;2256;-732;3745;-1600;-30;-1503;-862
1201361;1;11;1;2256;-866;3885;-1577;6;-1335;-895
1201371;1;11;1;2256;-937;3912;-1591;58;-1130;-902
1201381;1;11;1;2256;-1033;3870;-1590;230;-989;-901
1201391;1;11;1;2256;-1102;3807;-1564;479;-866;-905
1201401;1;11;1;2256;-1115;3783;-1525;724;-737;-919
1201411;1;11;1;2256;-1085;3853;-1456;849;-601;-848
1201421;1;11;1;2256;-931;3946;-1384;806;-483;-619
1201431;1;11;1;2256;-666;3951;-1380;687;-423;-250
1201441;1;11;1;2256;-537;3878;-1493;607;-441;82
1201451;1;11;1;2256;-464;3807;-1591;610;-492;237
1201461;1;11;1;2256;-488;3846;-1619;621;-619;242
1201471;1;11;1;2256;-466;3959;-1596;461;-752;314
1201481;1;11;1;2256;-384;4002;-1641;232;-860;433
1201491;1;11;1;2256;-293;3970;-1622;59;-1093;451
1201501;1;11;1;2256;-213;3966;-1593;78;-1416;248
1201511;1;11;1;2256;-118;3967;-1613;224;-1592;-100
1201521;1;11;1;2256;-126;3974;-1663;359;-1607;-406
1201531;1;11;1;2256;-193;3899;-1779;481;-1424;-712
1201541;1;11;1;2256;-279;3838;-1783;565;-1033;-1022
1201551;1;11;1;2256;-389;3796;-1777;596;-694;-1281
1201561;1;11;1;2256;-500;3798;-1720;544;-325;-1444
1201571;1;11;1;2256;-592;3782;-1693;436;-43;-1514
1201581;1;11;1;2256;-690;3767;-1643;350;123;-1527
1201591;1;11;1;2257;-798;3737;-1556;334;120;-1526
1201601;1;11;1;2257;-866;3766;-1502;349;88;-1535
1201611;1;11;1;2257;-895;3759;-1534;290;111;-1462
1201621;1;11;1;2257;-825;3748;-1509;160;138;-1299
1201631;1;11;1;2257;-738;3775;-1463;-28;133;-1098
1201641;1;11;1;2257;-615;3797;-1394;-168;133;-924
1201651;1;11;1;2257;-514;3784;-1282;-188;147;-784
1201661;1;11;1;2257;-492;3727;-1274;-110;250;-676
1201671;1;11;1;2257;-486;3694;-1263;1;337;-587
1201681;1;11;1;2257;-473;3664;-1281;115;300;-544
1201691;1;11;1;2257;-450;3719;-1298;174;192;-523
1201701;1;11;1;2257;-406;3789;-1295;111;70;-427
1201711;1;11;1;2257;-250;3878;-1275;-103;19;-231
1201721;1;11;1;2257;-122;3870;-1342;-344;69;7
1201731;1;11;1;2257;-15;3818;-1416;-559;157;223
1201741;1;11;1;2257;19;3742;-1448;-681;219;385
1201751;1;11;1;2257;-56;3697;-1433;-748;244;513
1201761;1;11;1;2257;-176;3644;-1399;-835;277;666
1201771;1;11;1;2257;-266;3619;-1335;-958;254;818
1201781;1;11;1;2257;-192;3603;-1399;-1171;213;986
1201791;1;11;1;2257;-10;3588;-1464;-1193;291;1041
1201801;1;11;1;2257;189;3646;-1465;-1117;626;951
1201811;1;11;1;2257;295;3707;-1466;-1075;867;837
1201821;1;11;1;2257;140;3740;-1495;-949;824;669
1201831;1;11;1;2257;6;3819;-1496;-742;634;493
1201841;1;11;1;2257;-111;3873;-1532;-432;615;216
1201851;1;11;1;2257;-206;3796;-1591;-67;813;-148
1201861;1;11;1;2257;-423;3776;-1664;214;1161;-460
1201871;1;11;1;2257;-646;3749;-1643;180;1368;-509
1201881;1;11;1;2257;-778;3794;-1654;-107;1330;-284
1201891;1;11;1;2257;-790;3819;-1564;-569;1190;144
1201901;1;11;1;2257;-816;3742;-1486;-967;955;574
1201911;1;11;1;2257;-800;3706;-1377;-1145;634;912
1201921;1;11;1;2257;-796;3656;-1327;-1104;402;1079
1201931;1;11;1;2257;-795;3624;-1224;-761;239;1025
1201941;1;11;1;2257;-845;3601;-1200;-276;-21;794
1201951;1;11;1;2257;-870;3553;-1253;-161;-102;759
1201961;1;11;1;2257;-882;3440;-1283;-220;-137;880
1201971;1;11;1;2257;-968;3321;-1231;-330;-240;1039
1201981;1;11;1;2257;-1023;3239;-1126;-458;-341;1130
1201991;1;11;1;2257;-954;3256;-992;-652;-352;1103
1202001;1;11;1;2257;-842;3295;-983;-711;-342;919
1202011;1;11;1;2257;-668;3296;-1001;-633;-252;738
1202021;1;11;1;2257;-522;3173;-1071;-342;-129;592
1202031;1;11;1;2257;-462;3320;-1092;103;190;516
1202041;1;11;1;2257;-503;3652;-1125;529;580;578
1202051;1;11;1;2257;-661;4182;-1177;972;789;675
1202061;1;11;1;2257;-880;4563;-1201;1098;727;891
1202071;1;11;1;2257;-1219;4597;-1307;921;598;685
1202081;1;11;1;2257;-1459;4313;-1453;854;335;-99
1202091;1;11;1;2258;-1487;4194;-1492;920;98;-1181
1202101;1;11;1;2258;-1230;4295;-1530;727;55;-1875
1202111;1;11;1;2258;-742;4589;-1625;46;99;-1856
1202121;1;11;1;2258;-120;4766;-1786;-821;392;-1173
1202131;1;11;1;2258;176;4988;-1834;-1126;642;-420
1202141;1;11;1;2258;86;5042;-1699;-1149;793;178
1202151;1;11;1;2258;-71;5016;-1675;-866;776;189
1202161;1;11;1;2258;-33;4794;-1853;-559;707;-177
1202171;1;11;1;2258;128;4818;-2047;-430;744;-638
1202181;1;11;1;2258;222;4894;-2055;-831;915;-931
1202191;1;11;1;2258;154;4694;-1891;-1774;1152;-987
1202201;1;11;1;2258;259;4451;-1809;-2660;1359;-1146
1202211;1;11;1;2258;454;4232;-1597;-3445;2002;-1357
1202221;1;11;1;2258;679;4057;-1188;-3777;2926;-1482
1202231;1;11;1;2258;715;3944;-893;-3679;3746;-1461
1202241;1;11;1;2258;632;3805;-736;-3170;4105;-1596
1202251;1;11;1;2258;428;3628;-779;-2324;3956;-2082
