timestamp;subject_id;activity;label;seq;ax;ay;az;gx;gy;gz
2487457;1;15;1;4603;-885;3585;-242;-1514;4178;-609
2487467;1;15;1;4603;-1083;3417;-184;-1454;4032;-296
2487477;1;15;1;4603;-1241;3461;-54;-1390;3774;-181
2487487;1;15;1;4603;-1296;3595;5;-1401;3501;8
2487497;1;15;1;4603;-1213;3581;-74;-1396;3260;272
2487507;1;15;1;4603;-1061;3593;-176;-1297;3142;246
2487517;1;15;1;4603;-790;3656;-304;-1196;3037;89
2487527;1;15;1;4603;-900;3594;-397;-1013;2630;214
2487537;1;15;1;4603;-1165;3647;-523;-808;2514;394
2487547;1;15;1;4603;-1369;3737;-565;-634;2583;575
2487557;1;15;1;4603;-1454;3833;-578;-456;2581;706
2487567;1;15;1;4603;-1435;3888;-595;-429;2506;881
2487577;1;15;1;4603;-1320;3870;-640;-516;2513;1208
2487587;1;15;1;4603;-1246;3684;-628;-506;2536;1429
2487597;1;15;1;4603;-1164;3593;-680;-384;2539;1435
2487607;1;15;1;4603;-920;3668;-698;-305;2616;1299
2487617;1;15;1;4603;-729;3607;-766;-230;2711;1312
2487627;1;15;1;4603;-737;3647;-823;-89;2727;1362
2487637;1;15;1;4603;-584;3830;-777;100;2734;1462
2487647;1;15;1;4603;-534;3857;-678;301;2731;1574
2487657;1;15;1;4603;-577;3806;-558;555;2700;1567
2487667;1;15;1;4603;-513;3819;-502;729;2695;1421
2487677;1;15;1;4603;-469;3699;-584;817;2783;1449
2487687;1;15;1;4603;-486;3526;-814;885;2749;1434
2487697;1;15;1;4603;-436;3527;-1063;839;2672;1294
2487707;1;15;1;4604;-397;3639;-1236;661;2691;1193
2487717;1;15;1;4604;-408;3683;-1359;479;2796;976
2487727;1;15;1;4604;-385;3748;-1317;314;2982;867
2487737;1;15;1;4604;-297;3804;-1031;214;3152;778
2487747;1;15;1;4604;-171;3861;-590;155;3262;685
2487757;1;15;1;4604;-101;3777;-248;58;3202;660
2487767;1;15;1;4604;22;3699;-183;-55;3051;708
2487777;1;15;1;4604;86;3687;-309;-119;2959;769
2487787;1;15;1;4604;97;3791;-460;-57;2891;651
2487797;1;15;1;4604;10;3921;-810;97;2981;546
2487807;1;15;1;4604;-39;4108;-1219;337;3165;352
2487817;1;15;1;4604;117;4429;-1412;446;3427;451
2487827;1;15;1;4604;204;4509;-1441;319;3635;905
2487837;1;15;1;4604;309;4361;-1231;45;3913;1354
2487847;1;15;1;4604;187;4015;-928;-193;3911;1422
2487857;1;15;1;4604;82;3857;-729;-374;3676;1057
2487867;1;15;1;4604;143;3865;-328;-581;3296;365
2487877;1;15;1;4604;448;3862;-73;-843;2862;-11
2487887;1;15;1;4604;632;3659;-236;-1082;2365;-254
2487897;1;15;1;4604;716;3536;-576;-1259;2184;-632
2487907;1;15;1;4604;903;3600;-982;-1397;2305;-1179
2487917;1;15;1;4604;1005;3726;-1332;-1450;2709;-1597
2487927;1;15;1;4604;1024;3785;-1767;-1351;3057;-1729
2487937;1;15;1;4604;1000;3835;-1779;-1137;3359;-1571
2487947;1;15;1;4604;794;3818;-1168;-974;3548;-1268
2487957;1;15;1;4604;676;3577;-549;-878;3650;-1206
2487967;1;15;1;4604;721;3437;26;-906;3369;-1197
2487977;1;15;1;4604;1008;3359;276;-1099;3179;-987
2487987;1;15;1;4604;1114;3298;70;-1313;3237;-551
2487997;1;15;1;4604;1570;3256;-325;-1519;3823;105
2488007;1;15;1;4604;1200;2694;-907;-1435;4711;350
2488017;1;15;1;4604;397;1826;-1327;-892;6291;-232
2488027;1;15;1;4604;-496;1163;-921;-100;7343;-2107
2488037;1;15;1;4604;-1998;1710;412;610;6116;-3826
2488047;1;15;1;4604;-2288;4004;1702;483;3755;-4800
2488057;1;15;1;4604;-2130;7442;2560;-1040;1912;-5185
2488067;1;15;1;4604;-1600;10309;1706;-3826;1401;-3972
2488077;1;15;1;4604;-1605;9837;-967;-6167;1946;-1295
2488087;1;15;1;4604;-2681;7867;-2933;-5965;3532;322
2488097;1;15;1;4604;-3014;6761;-3837;-3689;6374;1221
2488107;1;15;1;4604;-3047;5483;-3223;-1336;8911;2780
2488117;1;15;1;4604;-2005;4395;-859;232;10587;3264
2488127;1;15;1;4604;-1853;3580;1062;720;10155;2660
2488137;1;15;1;4604;-1989;3135;3023;964;7810;1753
2488147;1;15;1;4604;-2812;2729;4048;999;4907;51
2488157;1;15;1;4604;-2978;2885;4817;805;2288;-1547
2488167;1;15;1;4604;-2385;2997;4960;510;263;-2944
2488177;1;15;1;4604;-1879;3359;3876;496;-1194;-4191
2488187;1;15;1;4604;-1710;4186;1894;933;-2528;-4655
2488197;1;15;1;4604;-1448;5476;118;1568;-3360;-4246
2488207;1;15;1;4605;-1414;6394;-1410;2281;-3821;-3148
2488217;1;15;1;4605;-1224;7093;-2358;2978;-3931;-1773
2488227;1;15;1;4605;-1007;7066;-2302;3220;-3446;-369
2488237;1;15;1;4605;-739;5915;-1449;3072;-3008;499
2488247;1;15;1;4605;-736;4525;-551;3015;-2722;700
2488257;1;15;1;4605;-671;3273;235;3032;-2405;335
2488267;1;15;1;4605;-772;2682;953;3183;-2260;-527
2488277;1;15;1;4605;-802;2649;1062;3199;-3043;-1111
2488287;1;15;1;4605;-655;3318;982;2941;-4027;-1344
2488297;1;15;1;4605;-534;3958;534;2525;-4929;-1103
2488307;1;15;1;4605;-532;4448;-30;2197;-5361;-612
2488317;1;15;1;4605;-561;4380;-336;2032;-5513;-66
2488327;1;15;1;4605;-574;3841;-349;2108;-5503;163
2488337;1;15;1;4605;-602;3193;-261;2307;-5382;22
2488347;1;15;1;4605;-578;2758;-245;2485;-5164;-312
2488357;1;15;1;4605;-560;2588;-255;2541;-4954;-707
2488367;1;15;1;4605;-603;2761;-201;2484;-4937;-995
2488377;1;15;1;4605;-581;3277;-102;2246;-5078;-1060
2488387;1;15;1;4605;-451;4053;50;1661;-5406;-937
2488397;1;15;1;4605;-434;4599;166;811;-5870;-514
2488407;1;15;1;4605;-716;4501;24;37;-6256;105
2488417;1;15;1;4605;-1027;3946;-125;-400;-6588;540
2488427;1;15;1;4605;-853;3429;50;-502;-6805;417
2488437;1;15;1;4605;-585;3295;316;-474;-6642;-178
2488447;1;15;1;4605;-627;3463;550;-633;-6465;-600
2488457;1;15;1;4605;-940;3713;706;-913;-6510;-748
2488467;1;15;1;4605;-1047;3955;786;-1070;-6708;-620
2488477;1;15;1;4605;-1145;4311;788;-1233;-7056;-372
2488487;1;15;1;4605;-1216;4522;544;-1433;-6995;40
2488497;1;15;1;4605;-1224;4516;53;-1721;-6917;502
2488507;1;15;1;4605;-949;4328;-304;-1993;-6846;839
2488517;1;15;1;4605;-609;4094;-366;-2115;-6731;1222
2488527;1;15;1;4605;-336;3880;-199;-1958;-6758;1478
2488537;1;15;1;4605;-110;3828;-22;-1641;-6732;1388
2488547;1;15;1;4605;-103;3850;168;-1247;-6530;1047
2488557;1;15;1;4605;-335;3968;400;-932;-6200;749
2488567;1;15;1;4605;-603;4008;474;-745;-6045;666
2488577;1;15;1;4605;-670;4025;474;-748;-5954;658
2488587;1;15;1;4605;-633;4010;357;-878;-5837;579
2488597;1;15;1;4605;-576;4146;78;-1036;-5835;513
2488607;1;15;1;4605;-477;4319;-105;-1229;-5837;556
2488617;1;15;1;4605;-352;4484;-47;-1353;-5897;593
2488627;1;15;1;4605;-286;4524;148;-1392;-5888;731
2488637;1;15;1;4605;-255;4440;366;-1293;-5827;935
2488647;1;15;1;4605;-221;4290;490;-1103;-5667;1136
2488657;1;15;1;4605;-202;4086;450;-949;-5445;1316
2488667;1;15;1;4605;-145;3895;321;-845;-5226;1457
2488677;1;15;1;4605;-75;3802;201;-741;-5052;1563
2488687;1;15;1;4605;178;3776;150;-672;-4838;1602
2488697;1;15;1;4605;251;3713;96;-544;-4568;1520
2488707;1;15;1;4606;285;3683;134;-390;-4204;1314
2488717;1;15;1;4606;210;3620;142;-269;-3859;1176
2488727;1;15;1;4606;131;3423;186;-191;-3495;1056
2488737;1;15;1;4606;34;3276;282;-167;-3224;815
2488747;1;15;1;4606;4;3387;333;-180;-3193;291
2488757;1;15;1;4606;141;3716;251;-320;-3162;-219
2488767;1;15;1;4606;196;3981;150;-467;-3103;-350
2488777;1;15;1;4606;542;4189;115;-574;-2863;-256
2488787;1;15;1;4606;668;4116;276;-562;-2428;42
2488797;1;15;1;4606;687;3629;438;-383;-1839;282
2488807;1;15;1;4606;551;3258;403;3;-1265;-85
2488817;1;15;1;4606;531;3315;152;454;-751;-892
2488827;1;15;1;4606;468;3984;-380;671;-309;-1714
2488837;1;15;1;4606;37;4716;-919;519;-176;-1738
2488847;1;15;1;4606;-128;5225;-1088;139;-259;-813
2488857;1;15;1;4606;3;5209;-798;-274;-532;783
2488867;1;15;1;4606;53;4701;-351;-665;-805;2497
2488877;1;15;1;4606;104;3719;-199;-940;-1102;3732
2488887;1;15;1;4606;113;2478;-307;-906;-1498;4354
2488897;1;15;1;4606;-250;1344;-458;-556;-1780;4053
2488907;1;15;1;4606;-1377;945;-658;-313;-1985;2272
2488917;1;15;1;4606;-4162;1165;-1196;-845;-2130;-205
2488927;1;15;1;4606;-5048;1330;-2323;-1589;-687;-3208
2488937;1;15;1;4606;-5901;2112;-3640;-1926;820;-7514
2488947;1;15;1;4606;-6312;3820;-5794;-650;576;-11611
2488957;1;15;1;4606;-433;10945;-5057;1524;-1487;-7386
2488967;1;15;1;4606;-1267;11297;-2537;2480;-1900;2862
2488977;1;15;1;4606;-3146;9532;1219;3605;-1788;7272
2488987;1;15;1;4606;-2942;7220;3116;3690;-2850;9336
2488997;1;15;1;4606;-2395;4009;2450;3164;-1519;7530
2489007;1;15;1;4606;-1849;2964;1340;2733;-1666;4455
2489017;1;15;1;4606;-1635;2892;450;1903;-2323;2535
2489027;1;15;1;4606;-1394;2810;-258;1134;-2754;1422
2489037;1;15;1;4606;-990;3155;-952;598;-3157;27
2489047;1;15;1;4606;-757;4079;-1493;378;-3120;-1429
2489057;1;15;1;4606;-776;5098;-1962;347;-2499;-2186
2489067;1;15;1;4606;-655;6146;-2094;257;-1456;-2008
2489077;1;15;1;4606;-792;6596;-1954;66;-444;-722
2489087;1;15;1;4606;-763;6344;-1545;-188;292;1103
2489097;1;15;1;4606;-583;5323;-940;-484;859;2646
2489107;1;15;1;4606;-305;4257;-327;-605;1199;3173
2489117;1;15;1;4606;-51;3365;199;-570;1413;3277
2489127;1;15;1;4606;416;2640;583;-398;1745;3208
2489137;1;15;1;4606;569;2008;616;-91;2186;2605
2489147;1;15;1;4606;404;1884;465;236;2403;1442
2489157;1;15;1;4606;145;2096;230;322;2539;322
2489167;1;15;1;4606;-106;2373;67;362;2593;-442
2489177;1;15;1;4606;-241;2975;-96;392;2784;-819
2489187;1;15;1;4606;-478;3600;-212;343;2969;-869
2489197;1;15;1;4606;-617;4104;-365;138;3058;-515
2489207;1;15;1;4607;-659;4383;-443;-70;3281;166
2489217;1;15;1;4607;-662;4202;-559;-130;3660;1040
2489227;1;15;1;4607;-577;3969;-690;71;4183;1686
2489237;1;15;1;4607;-300;3735;-670;413;4823;2193
2489247;1;15;1;4607;-74;3608;-696;814;5463;2381
2489257;1;15;1;4607;-143;3601;-736;1029;5941;2089
2489267;1;15;1;4607;-337;3700;-828;1008;6328;1665
2489277;1;15;1;4607;-648;3762;-761;834;6650;1561
2489287;1;15;1;4607;-834;3636;-626;675;6889;1552
2489297;1;15;1;4607;-937;3418;-233;643;7132;1534
2489307;1;15;1;4607;-805;3310;112;863;7386;1511
2489317;1;15;1;4607;-541;3402;267;1117;7528;1508
2489327;1;15;1;4607;-246;3713;289;1439;7534;1373
2489337;1;15;1;4607;-148;4038;124;1731;7495;1265
2489347;1;15;1;4607;-398;4139;-163;2006;7338;1125
2489357;1;15;1;4607;-564;4190;-374;2107;7209;744
2489367;1;15;1;4607;-743;4152;-483;1988;7152;283
2489377;1;15;1;4607;-763;4061;-666;1682;7226;-59
2489387;1;15;1;4607;-781;4014;-751;1287;7434;-314
2489397;1;15;1;4607;-665;4186;-912;823;7607;-350
2489407;1;15;1;4607;-472;4457;-930;359;7804;-226
2489417;1;15;1;4607;-551;4554;-829;101;8004;-174
2489427;1;15;1;4607;-697;4633;-682;103;7913;-422
2489437;1;15;1;4607;-627;4690;-531;275;7717;-613
2489447;1;15;1;4607;-392;4592;-429;380;7681;-594
2489457;1;15;1;4607;-203;4234;-366;507;7668;-483
2489467;1;15;1;4607;-10;3883;-346;661;7595;-571
2489477;1;15;1;4607;-203;3774;-377;810;7451;-770
2489487;1;15;1;4607;-111;4009;-507;754;7395;-813
2489497;1;15;1;4607;-49;4117;-633;543;7566;-897
2489507;1;15;1;4607;47;4016;-843;356;7789;-1066
2489517;1;15;1;4607;97;3879;-937;351;7819;-1239
2489527;1;15;1;4607;194;3840;-860;516;7962;-1447
2489537;1;15;1;4607;79;3707;-673;795;7971;-1550
2489547;1;15;1;4607;-101;3678;-567;960;7955;-1694
2489557;1;15;1;4607;-240;3670;-482;983;7917;-1772
2489567;1;15;1;4607;-122;3689;-321;882;7822;-1862
2489577;1;15;1;4607;44;3794;-339;652;7700;-1751
2489587;1;15;1;4607;287;3798;-358;484;7489;-1377
2489597;1;15;1;4607;484;3639;-540;509;7234;-832
2489607;1;15;1;4607;585;3452;-720;687;7112;-342
2489617;1;15;1;4607;792;3246;-791;972;7257;75
2489627;1;15;1;4607;855;3121;-889;1267;7721;487
2489637;1;15;1;4607;1136;2960;-995;1427;8391;804
2489647;1;15;1;4607;1631;2714;-1094;1440;9354;1194
2489657;1;15;1;4607;1374;2112;-1249;1542;10457;1115
2489667;1;15;1;4607;496;1643;-1031;1857;10655;-70
2489677;1;15;1;4607;-364;2375;-606;1764;10646;-1981
2489687;1;15;1;4607;-1082;4505;-244;759;10339;-4342
2489697;1;15;1;4607;-2079;6869;-71;-1016;9894;-5453
2489707;1;15;1;4608;-2410;7709;109;-2623;9694;-4519
2489717;1;15;1;4608;-1611;7107;-112;-3053;10034;-1800
2489727;1;15;1;4608;-1234;6280;-843;-2354;10501;328
2489737;1;15;1;4608;-1072;5715;-1242;-1180;11070;1046
2489747;1;15;1;4608;-866;5106;-1406;-423;11690;1018
2489757;1;15;1;4608;-523;4540;-1233;-276;12118;277
2489767;1;15;1;4608;-342;4327;-724;-518;12293;-684
2489777;1;15;1;4608;-613;4146;-191;-921;12014;-1639
2489787;1;15;1;4608;-908;4313;426;-1268;11232;-2603
2489797;1;15;1;4608;-695;4651;737;-1446;10597;-2880
2489807;1;15;1;4608;-446;4885;554;-1415;10012;-2626
2489817;1;15;1;4608;-289;5175;-86;-1113;9534;-2033
2489827;1;15;1;4608;-418;5506;-692;-736;9206;-1237
2489837;1;15;1;4608;-581;5684;-866;-415;8917;-621
2489847;1;15;1;4608;-531;5527;-672;-249;8523;-359
2489857;1;15;1;4608;-426;5019;-433;-228;8112;-299
2489867;1;15;1;4608;-278;4345;-263;-302;7834;-323
2489877;1;15;1;4608;-131;3672;-283;-328;7600;-619
2489887;1;15;1;4608;-41;3321;-456;-204;7407;-1078
2489897;1;15;1;4608;18;3260;-607;-15;7394;-1475
2489907;1;15;1;4608;8;3410;-753;143;7515;-1840
2489917;1;15;1;4608;54;3696;-968;172;7770;-2148
2489927;1;15;1;4608;103;3922;-1200;83;8073;-2348
2489937;1;15;1;4608;21;4003;-1413;-86;8432;-2360
2489947;1;15;1;4608;-20;3945;-1390;-228;8848;-2249
2489957;1;15;1;4608;26;3822;-1245;-281;9239;-2026
2489967;1;15;1;4608;56;3594;-1094;-245;9587;-1907
2489977;1;15;1;4608;71;3459;-975;-143;9902;-1930
2489987;1;15;1;4608;-77;3332;-924;-23;10081;-2141
2489997;1;15;1;4608;-224;3403;-964;41;10182;-2439
2490007;1;15;1;4608;-242;3585;-1019;23;10276;-2638
2490017;1;15;1;4608;-203;3816;-1089;-47;10379;-2708
2490027;1;15;1;4608;-97;3992;-1150;-135;10440;-2628
2490037;1;15;1;4608;-121;4100;-1116;-184;10462;-2504
2490047;1;15;1;4608;-281;4164;-971;-187;10326;-2457
2490057;1;15;1;4608;-349;4205;-826;-230;10171;-2410
2490067;1;15;1;4608;-285;4237;-719;-333;10018;-2275
